,index,text,key_phrase,label,DocumentSimilarity,MMRScore,sentence
0,0,Prospective study of equine colic risk factors  .  A1 year prospective study was conducted on 31 horse farms to identify risk factors for equine colic. Farms were randomly selected from a list from 2 adjacent counties of Virginia and …,horse farms,Manufactured_Object,0.5393505371597437,0.16180516757748253,1
1,1," Dietary and other management factors associated with equine colic  .  … Equine colic is an important cause of disease and death in horses. Relatively few … , and to examine other management factors associated with equine colic. Because horses examined at …",disease,Disease_or_Syndrome,0.5382300470087011,0.16146902051881248,1
2,2,"Prospective study of equine colic incidence and mortality  .  A prospective study of one year was conducted on 31 horse farms to obtain population based estimates of incidence, morbidity and mortality rates of equine colic. Farms with greater …",horse farms,Manufactured_Object,0.4974248475569449,0.14922746019684974,1
3,3,Case-control study of the association between various management factors and development of colic in horses. Texas Equine Colic Study Group.  .  The association between various management factors and development of colic was studied in 821 horses treated for colic and 821 control horses treated for noncolic emergencies by …,horses,Mammal,0.3811954733072219,0.11435864653637073,0
4,4," Practical guide to equine colic  .  … should stimulate research ideas to improve equine colic patient management. I personally learned … When asked by WileyBlackwell to write a small 200-page book about equine colic, it …",patient management,Health_Care_Activity,0.27672174714520215,0.08301652744234093,1
5,5,"A two year, prospective survey of equine colic in general practice  .  … VERY few epidemiological studies of equine colic have been performed on an unbiased population. Most published surveys have been conducted on horses referred to clinics for …",epidemiological studies,Research_Activity,0.29039150420986,0.08711745472469448,1
6,6,"Development of a colic severity score for predicting the outcome of equine colic  .  … of survival for equine colic patients. Numerous variables, used independently or in combination, are related to survival,’ but they have been most successful in predicting survival when …",severity,Qualitative_Concept,0.3286729250457652,0.09860188143181614,0
7,7,Prognosticating equine colic  .  Prognosticating survival in horses with colic is challenging because of the number of diseases and pathophysiologic processes that can cause the behavior. Although the treatment of …,diseases,Disease_or_Syndrome,0.5345520770460978,0.16036562948618666,1
8,8,"Clinical evaluation of blood lactate levels in equine colic  .  … Donawick and Hiza (1973) reported that in 9 cases of equine colic, blood lactate levels were … evaluate the rise of blood lactate levels in equine colic cases and to determine if such levels …",blood lactate levels,Laboratory_Procedure,0.6943766170826186,0.2083129934023999,0
9,9,Prognosis in equine colic: a comparative study of variables used to assess individual cases  .  The present retrospective study compared objectively the prognostic value of many variables routinely used in the assessment of equine colic cases. The best prognostic variables were …,prognostic variables,Clinical_Attribute,0.47144481985389347,0.14143345157622825,2
10,10,"Prevention of post operative complications following surgical treatment of equine colic: current evidence  .  … However, evidence of similar best antimicrobial practice in equine colic surgery and any impact of this on the incidence of SSI is lacking, and is an area that requires future research. …",operative complications,Pathologic_Function,0.5266718390054883,0.15800155798006407,0
11,11,Prognosis in equine colic: a study of individual variables used in case assessment  .  The individual merit of the use of 43 variables to assess the prognosis of equine colic cases was examined. The following variables revealed highly significant (P<0.001) differences …,prognosis,Health_Care_Activity,0.6000282530207112,0.18000848305910752,1
12,12,Detection of endotoxin in cases of equine colic.  .  The Limulus amoebocyte lysate assay was used to test for the presence of endotoxin in 37 clinical cases of equine colic. Positive plasma titres were detected in 10 cases and the …,Limulus amoebocyte lysate assay,Laboratory_Procedure,0.6590590646238578,0.1977177272437536,1
13,13,"Mortality rates and associated factors in equine colic operations—a retrospective study of 341 operations  .  … and postoperative progress of the surgical intervention in the equine colic case (3,7,8). A summary of previous reviews of survival rates for equine colic surgery are shown in Table I. In …",Mortality rates,Quantitative_Concept,0.5270988840195031,0.15812967148935927,0
14,14,Factors associated with Salmonella shedding among equine colic patients at a veterinary teaching hospital  .  … at a veterinary teaching hospital because of colic and that pathogen monitoring in patients and the hospital environment and use of barrier nursing precautions for equine colic patients …,veterinary teaching hospital,Manufactured_Object,0.6189933991277238,0.18569802711729347,0
15,15, Could it be colic? Horse-owner decision making and practices in response to equine colic  .  Little is known about lay understanding and decision making in response to colic. Horse-owners/carers are key to identifying colic and initiating veterinary intervention. Understanding …,veterinary intervention,Therapeutic_or_Preventive_Procedure,0.546085917357231,0.16382578171702072,3
16,16," Is equine colic seasonal? Novel application of a model based approach  .  … equine colic. This model provides a useful means of investigating temporal patterns in equine colic, … uses time-series methods of analysis to explore seasonal patterns in equine colic. …",time-series methods,Research_Activity,0.5150796429596415,0.15452389902812028,2
17,17,Prognosis in equine colic patients using multivariable analysis.  .  … Multivariable models can also be utilized in clinical prediction; in this study they were used to predict prognosis of equine colic cases. Previous multivariable models formulated for use …,prognosis,Health_Care_Activity,0.6353966819834294,0.19061901216954752,1
18,18,Pre-operative and anaesthesia-related risk factors for mortality in equine colic cases  .  … We conclude that cardiovascular parameters (PCV and heart rate) and degree of pain are associated with intra-operative death in our equine colic population. Reduced long-term …,mortality,Quantitative_Concept,0.6237181027942914,0.18711543827358662,0
19,19,Are tapeworms associated with equine colic? A case control study  .  … The clearer understanding of other aetiological factors in equine colic may demand … The importance of tapeworms in the aetiology of equine colic must be kept in perspective. '…,tapeworms,Eukaryote,0.48083520809573566,0.14425056816072304,0
20,20,Evaluation of peritoneal fluid lactate as a marker of intestinal ischaemia in equine colic  .  … Elevated serum glucose has been described in the initial phases of endotoxaemia and glucose values >13.9 mmol/l have been associated with poor prognosis in equine colic. …,intestinal ischaemia,Disease_or_Syndrome,0.7428811575621083,0.22286435612446598,0
21,21,"Study of variables commonly used in examination of equine colic cases to assess prognostic value  .  In a retrospective study, the prognostic value and individual merit of seven variables, used in routine examination of colic cases, were tested. The following variables proved to be …",prognostic value,Quantitative_Concept,0.41329542862691515,0.12398863351494,0
22,22,"Hemostatic abnormalities in equine colic.  .  Hemostatic profiles were determined in 30 horses with clinical colic. Blood samples were obtained at the time of the animal's admission, and the following hemostatic tests were done: …",hemostatic tests,Laboratory_Procedure,0.5482000262786947,0.16446001441866198,3
23,23," Equine colic  .  Colic, defined as any abdominal pain, has resulted in the death of horses throughout recorded history. The earliest treatments may have been acupuncture. The use of drugs for …",abdominal pain,Sign_or_Symptom,0.5521629346671946,0.16564888698245347,1
24,24,"Equine colic: a review of the equine hindgut and colic  .  Colic is the major cause of morbidity and mortality, premature deaths, and is the number one health concern in horses. To increase the quality of life for horses, it is vital to understand …",mortality,Quantitative_Concept,0.4049869874607616,0.12149610106604959,1
25,25," Surgical treatment of equine colic-a retrospective study of 297 surgeries in Norway 2005–2011  .  … The majority of equine colic episodes resolve spontaneously or after medical treatment. On the other hand, displacements and especially strangulating lesions might prove fatal without …",fatal,Qualitative_Concept,0.4801577780580191,0.1440473391413325,2
26,26,"Laparotomy in equine colic—a report of thirteen clinical cases  .  A report of 13 unselected clinical cases of colic in horses which were submitted to laparotomy is presented, together with one case of experimental end‐to‐side anastomosis of the ileum …",end‐to‐side anastomosis,Therapeutic_or_Preventive_Procedure,0.5518174739016192,0.16554524874866267,1
27,27,"Comparison of detomidine, butorphanol, flunixin meglumine and xylazine in clinical cases of equine colic  .  Detomidine hydrochloride, butorphanol tartrate, flunixin meglumine and xylazine hydrochloride were evaluated in a blind multi‐centre clinical trial in 152 horses with abdominal pain. …",butorphanol tartrate,Organic_Chemical,0.6414677713630521,0.19244033905580737,1
28,28,A farm-based prospective study of equine colic incidence and associated risk factors  .  Abdominal pain (colic) in the horse is one of the most acute problems facing equine practitioners. Several causes and risk factors are associated with colic. The current study evaluated …,Abdominal pain,Sign_or_Symptom,0.5907173901531161,0.17721522408783486,1
29,29,Assessment of the necessity for surgical intervention in cases of equine colic: a retrospective study  .  The present study retrospectively examined clinical and clinicopathological findings in horses with colic to determine which variables distinguished between medically treatable cases …,surgical intervention,Therapeutic_or_Preventive_Procedure,0.4158813187504739,0.12476440058283382,0
30,30,Are horse age and incision length associated with surgical site infection following equine colic surgery?  .  It is our clinical impression that age and incision length are more strongly associated with surgical site infection (SSI) following colic surgery than skin closure or wound protection …,surgical site infection,Pathologic_Function,0.6617789780086871,0.1985337012916263,1
31,31,"Association of age, sex and breed factors in acute equine colic: a retrospective study of 320 cases admitted to a veterinary teaching hospital in the USA  .  … Only a few of the many retrospective studies on equine colic … Mortality rates and associated factors in equine colic … Study of variables commonly used in examination of equine colic …",veterinary teaching hospital,Manufactured_Object,0.5010477133669979,0.15031431998305358,0
32,32," Prospective survey of veterinary practitioners' primary assessment of equine colic: clinical features, diagnoses, and treatment of 120 cases of large colon …  .  … Data were collected prospectively from veterinary practitioners on the primary assessment of equine colic cases over a 12 month period. Inclusion criteria were a diagnosis of primary …",veterinary practitioners,Professional_or_Occupational_Group,0.5607386413223746,0.16822159908123788,0
33,33,"Interstitial cells of Cajal (ICC) in equine colic: an immunohistochemical study of horses with obstructive disorders of the small and large intestines  .  Reasons for performing study: The gastrointestinal pacemaker cells, the interstitial cells of Cajal (ICC), have been implicated in several human gastrointestinal dysmotility syndromes. …",gastrointestinal dysmotility syndromes,Disease_or_Syndrome,0.779042769492507,0.2337128401346656,1
34,34,A multivariable prognostic model for equine colic patients  .  A survey of 1965 equine colic cases was conducted from August 1985 to July 1986 ten equine referral hospitals located througout the USA Two-thirds of the cases were randomly …,referral hospitals,Manufactured_Object,0.39625000129781257,0.11887500511301188,1
35,35, Indications for surgical intervention in equine colic  .  INDICATIONS FOR SURGICAL INTERVENTION IN EQUINE COLIC … INDICATIONS FOR SURGICAL INTERVENTION IN EQUINE COLIC … Table 2: PROGNOSTIC VALUE OF …,surgical intervention,Therapeutic_or_Preventive_Procedure,0.49492314209575494,0.1484769485286701,0
36,36,"Risk factors for equine acute abdominal disease (colic): Results from a multi-center case-control study  .  … The specific aim of the study, to examine risk factors for equine colic, was not mentioned. A statement that assured confidentiality of all information obtained was also included. Individual …",acute abdominal disease,Disease_or_Syndrome,0.6733719967834437,0.20201160706225285,0
37,37,"Survival rates and post‐operative complications after equine colic surgery  .  Survival rates and postâ•’operative complications after equine colic surgery Page 1 largely functional. The raised IgGJIgG, and IgM/IgG, ratios suggest some local transfer of both IgG, …",postâ•’operative complications,Disease_or_Syndrome,0.7004049615842947,0.2101214968247662,1
38,38,Results of operative treatment of equine colic with special reference to surgery of the ileum  .  … Study of variables commonly used in examination of equine colic cases … A2 as a prognostic variable in equine colic. Proc 2nd … Epizootiology and risk factors in equine colic at University …,prognostic variable,Clinical_Attribute,0.46418563944022406,0.13925569736559124,1
39,39,"Equine colic: clinical epidemiology and associated risk factors in and around Debre Zeit  .  … clinical epidemiology of equine colic in the Society for … of equine colic, to characterize the main types of equine colic, and to determine the major risk factors associated with equine colic. …",Debre Zeit,Eukaryote,0.3649418580713279,0.10948256177184433,0
40,40,Assessment of costs and insurance policies for referral treatment of equine colic  .  Colic is the most common emergency problem in horses. The aims of this study were to survey costs of different referral treatments and to review insurance policies relevant to horses …,referral treatments,Therapeutic_or_Preventive_Procedure,0.29434441249126986,0.08830332725623978,2
41,41,Whole blood re‐calcification time in equine colic  .  … monocytes isolated from equine colic patients express more … monocytes isolated from equine colic patients expressed more … and determining the prognosis for survival in equine colic. …,monocytes,Cell,0.4828769467303643,0.14486308977545106,1
42,43,Risk factors for colic in the Michigan (USA) equine population  .  … A population-based prospective epidemiological study was conducted to assess risk factors for equine colic. A stratified sample of 3925 equids in 138 randomly selected equine farms …,population-based prospective epidemiological study,Research_Activity,0.47742102683082643,0.14322631374055006,1
43,44,"Equine colic associated with sand impaction of the large colon  .  In most cases the outcome of impaction of the colon is favourable and with mild purging and lubrication, the mass can be broken down and the horse returned to normal health. It is …",large colon,"Body_Part,_Organ,_or_Organ_Component",0.3798541211765253,0.11395624088117158,0
