,AugmTitle
0,"'Prospective study of equine colic risk factors', 'A1 year prospective study was conducted on 31 horse farms to identify risk factors for equine \ncolic. Farms were randomly selected from a list from 2 adjacent counties of Virginia and …'"
1,"'[PDF][PDF] Dietary and other management factors associated with equine colic', '… Equine colic is an important cause of disease and death in horses. Relatively few … , and to \nexamine other management factors associated with equine colic. Because horses examined at …'"
2,"'Prospective study of equine colic incidence and mortality', 'A prospective study of one year was conducted on 31 horse farms to obtain population based \nestimates of incidence, morbidity and mortality rates of equine colic. Farms with greater …'"
3,"'Case-control study of the association between various management factors and development of colic in horses. Texas Equine Colic Study Group.', 'The association between various management factors and development of colic was studied \nin 821 horses treated for colic and 821 control horses treated for noncolic emergencies by …'"
4,"'[BOOK][B] Practical guide to equine colic', '… should stimulate research ideas to improve equine colic patient management. I personally \nlearned … When asked by WileyBlackwell to write a small 200-page book about equine colic, it …'"
5,"'A two year, prospective survey of equine colic in general practice', '… VERY few epidemiological studies of equine colic have been performed on an unbiased \npopulation. Most published surveys have been conducted on horses referred to clinics for …'"
6,"'Development of a colic severity score for predicting the outcome of equine colic', '… of survival for equine colic patients. Numerous variables, used independently or in combination, \nare related to survival,’ but they have been most successful in predicting survival when …'"
7,"'Prognosticating equine colic', 'Prognosticating survival in horses with colic is challenging because of the number of diseases \nand pathophysiologic processes that can cause the behavior. Although the treatment of …'"
8,"'Clinical evaluation of blood lactate levels in equine colic', '… Donawick and Hiza (1973) reported that in 9 cases of equine colic, blood lactate levels were \n… evaluate the rise of blood lactate levels in equine colic cases and to determine if such levels …'"
9,"'Prognosis in equine colic: a comparative study of variables used to assess individual cases', 'The present retrospective study compared objectively the prognostic value of many variables \nroutinely used in the assessment of equine colic cases. The best prognostic variables were …'"
10,"'Prevention of post operative complications following surgical treatment of equine colic: current evidence', '… However, evidence of similar best antimicrobial practice in equine colic surgery and any \nimpact of this on the incidence of SSI is lacking, and is an area that requires future research. …'"
11,"'Prognosis in equine colic: a study of individual variables used in case assessment', 'The individual merit of the use of 43 variables to assess the prognosis of equine colic cases \nwas examined. The following variables revealed highly significant (P<0.001) differences …'"
12,"'Detection of endotoxin in cases of equine colic.', 'The Limulus amoebocyte lysate assay was used to test for the presence of endotoxin in 37 \nclinical cases of equine colic. Positive plasma titres were detected in 10 cases and the …'"
13,"'Mortality rates and associated factors in equine colic operations—a retrospective study of 341 operations', '… and postoperative progress of the surgical intervention in the equine colic case (3,7,8). A \nsummary of previous reviews of survival rates for equine colic surgery are shown in Table I. In …'"
14,"'Factors associated with Salmonella shedding among equine colic patients at a veterinary teaching hospital', '… at a veterinary teaching hospital because of colic and that pathogen monitoring in patients \nand the hospital environment and use of barrier nursing precautions for equine colic patients …'"
15,"'[HTML][HTML] Could it be colic? Horse-owner decision making and practices in response to equine colic', 'Little is known about lay understanding and decision making in response to colic. Horse-owners/carers \nare key to identifying colic and initiating veterinary intervention. Understanding …'"
16,"'[HTML][HTML] Is equine colic seasonal? Novel application of a model based approach', '… equine colic. This model provides a useful means of investigating temporal patterns in equine \ncolic, … uses time-series methods of analysis to explore seasonal patterns in equine colic. …'"
17,"'Prognosis in equine colic patients using multivariable analysis.', '… Multivariable models can also be utilized in clinical prediction; in this study they were used \nto predict prognosis of equine colic cases. Previous multivariable models formulated for use …'"
18,"'Pre-operative and anaesthesia-related risk factors for mortality in equine colic cases', '… We conclude that cardiovascular parameters (PCV and heart rate) and degree of pain \nare associated with intra-operative death in our equine colic population. Reduced long-term …'"
19,"'Are tapeworms associated with equine colic? A case control study', ""… The clearer understanding of other aetiological factors in equine colic may demand … \nThe importance of tapeworms in the aetiology of equine colic must be kept in perspective. '…"""
20,"'Evaluation of peritoneal fluid lactate as a marker of intestinal ischaemia in equine colic', '… Elevated serum glucose has been described in the initial phases of endotoxaemia and \nglucose values >13.9 mmol/l have been associated with poor prognosis in equine colic. …'"
21,"'Study of variables commonly used in examination of equine colic cases to assess prognostic value', 'In a retrospective study, the prognostic value and individual merit of seven variables, used \nin routine examination of colic cases, were tested. The following variables proved to be …'"
22,"'Hemostatic abnormalities in equine colic.', ""Hemostatic profiles were determined in 30 horses with clinical colic. Blood samples were \nobtained at the time of the animal's admission, and the following hemostatic tests were done: …"""
23,"'[PDF][PDF] Equine colic', 'Colic, defined as any abdominal pain, has resulted in the death of horses throughout \nrecorded history. The earliest treatments may have been acupuncture. The use of drugs for …'"
24,"'Equine colic: a review of the equine hindgut and colic', 'Colic is the major cause of morbidity and mortality, premature deaths, and is the number one \nhealth concern in horses. To increase the quality of life for horses, it is vital to understand …'"
25,"'[HTML][HTML] Surgical treatment of equine colic-a retrospective study of 297 surgeries in Norway 2005–2011', '… The majority of equine colic episodes resolve spontaneously or after medical treatment. On \nthe other hand, displacements and especially strangulating lesions might prove fatal without …'"
26,"'Laparotomy in equine colic—a report of thirteen clinical cases', 'A report of 13 unselected clinical cases of colic in horses which were submitted to laparotomy \nis presented, together with one case of experimental end‐to‐side anastomosis of the ileum …'"
27,"'Comparison of detomidine, butorphanol, flunixin meglumine and xylazine in clinical cases of equine colic', 'Detomidine hydrochloride, butorphanol tartrate, flunixin meglumine and xylazine hydrochloride \nwere evaluated in a blind multi‐centre clinical trial in 152 horses with abdominal pain. …'"
28,"'A farm-based prospective study of equine colic incidence and associated risk factors', 'Abdominal pain (colic) in the horse is one of the most acute problems facing equine practitioners. \nSeveral causes and risk factors are associated with colic. The current study evaluated …'"
29,"'Assessment of the necessity for surgical intervention in cases of equine colic: a retrospective study', 'The present study retrospectively examined clinical and clinicopathological findings in horses \nwith colic to determine which variables distinguished between medically treatable cases …'"
30,"'Are horse age and incision length associated with surgical site infection following equine colic surgery?', 'It is our clinical impression that age and incision length are more strongly associated with \nsurgical site infection (SSI) following colic surgery than skin closure or wound protection …'"
31,"'Association of age, sex and breed factors in acute equine colic: a retrospective study of 320 cases admitted to a veterinary teaching hospital in the USA', '… Only a few of the many retrospective studies on equine colic … Mortality rates and associated \nfactors in equine colic … Study of variables commonly used in examination of equine colic …'"
32,"""[HTML][HTML] Prospective survey of veterinary practitioners' primary assessment of equine colic: clinical features, diagnoses, and treatment of 120 cases of large colon\xa0…"", '… Data were collected prospectively from veterinary practitioners on the primary assessment \nof equine colic cases over a 12 month period. Inclusion criteria were a diagnosis of primary …'"
33,"'Interstitial cells of Cajal (ICC) in equine colic: an immunohistochemical study of horses with obstructive disorders of the small and large intestines', 'Reasons for performing study: The gastrointestinal pacemaker cells, the interstitial cells of \nCajal (ICC), have been implicated in several human gastrointestinal dysmotility syndromes. …'"
34,"'A multivariable prognostic model for equine colic patients', 'A survey of 1965 equine colic cases was conducted from August 1985 to July 1986 ten \nequine referral hospitals located througout the USA Two-thirds of the cases were randomly …'"
35,"'[PDF][PDF] Indications for surgical intervention in equine colic', 'INDICATIONS FOR SURGICAL INTERVENTION IN EQUINE COLIC … INDICATIONS FOR \nSURGICAL INTERVENTION IN EQUINE COLIC … Table 2: PROGNOSTIC VALUE OF\xa0…'"
36,"'Risk factors for equine acute abdominal disease (colic): Results from a multi-center case-control study', '… The specific aim of the study, to examine risk factors for equine colic, was not mentioned. A \nstatement that assured confidentiality of all information obtained was also included. Individual …'"
37,"'Survival rates and post‐operative complications after equine colic surgery', 'Survival rates and postâ•’operative complications after equine colic surgery Page 1 largely \nfunctional. The raised IgGJIgG, and IgM/IgG, ratios suggest some local transfer of both IgG, …'"
38,"'Results of operative treatment of equine colic with special reference to surgery of the ileum', '… Study of variables commonly used in examination of equine colic cases … A2 as a prognostic \nvariable in equine colic. Proc 2nd … Epizootiology and risk factors in equine colic at University …'"
39,"'Equine colic: clinical epidemiology and associated risk factors in and around Debre Zeit', '… clinical epidemiology of equine colic in the Society for … of equine colic, to characterize the \nmain types of equine colic, and to determine the major risk factors associated with equine colic. …'"
40,"'Assessment of costs and insurance policies for referral treatment of equine colic', 'Colic is the most common emergency problem in horses. The aims of this study were to \nsurvey costs of different referral treatments and to review insurance policies relevant to horses …'"
41,"'Whole blood re‐calcification time in equine colic', '… monocytes isolated from equine colic patients express more … monocytes isolated from equine \ncolic patients expressed more … and determining the prognosis for survival in equine colic. …'"
42,"'Epidemiology of colic', '… Knowledge of the epidemiology of equine colic affects each … is to review the epidemiology \nof equine colic. Because a … emphasized: risk factors for equine colic and models for predicting …'"
43,"'Risk factors for colic in the Michigan (USA) equine population', '… A population-based prospective epidemiological study was conducted to assess risk factors \nfor equine colic. A stratified sample of 3925 equids in 138 randomly selected equine farms …'"
44,"'Equine colic associated with sand impaction of the large colon', 'In most cases the outcome of impaction of the colon is favourable and with mild purging and \nlubrication, the mass can be broken down and the horse returned to normal health. It is …'"
45,"'A Pilot Randomised Clinical Trial Comparing a Short-Term Perioperative Prophylaxis Regimen to a Long-Term Standard Protocol in Equine Colic Surgery', '… An annual incidence of 4.2% was reported for the prevalence of equine colic in the United \nStates, including 1.4% of horses which required emergency laparotomy [1]. According to …'"
46,"'The value of arterial blood pressure measurement in assessing the prognosis in equine colic', '… to augment other methods of clinical and laboratory examination in cases of equine colic. … \nmeasurements of arterial blood pressure in the assessment of the prognosis in equine colic. …'"
47,"'Developing best practice guidelines on equine colic', '… Colic Project as a basis for developing clinical practice guidelines for equine colic. … decision \nmaking around the diagnostic approach to equine colic. The project team would welcome …'"
48,"'Prognosis in equine medical and surgical colic', '… Several retrospective studies on equine colic already have been published over the past 20 \n… variables, in order to provide a better guideline for prognosis-assessment in equine colic. …'"
49,"'Validation of logistic regression models used in the assessment of prognosis and the need for surgery in equine colic patients', '… to evaluate both prognosis and the need for surgery in equine colic patients. The validation \nstudy prospectively collected 730 equine colic cases at 16 different locations over a 15-…'"
50,"'Medical treatment of equine colic', '… The aims of medical therapy in equine colic are to relieve pain and to restore normal \npropulsive motility of the gut. These aims need to be accomplished without masking the clinical …'"
51,"'[BOOK][B] Understanding equine colic: your guide to horse health care and management', '… Although this is certainly an overgeneralization of equine colic episodes, the high \noccurrence of colic and the need for abdominal surgery (colic surgery) in the horse are much\xa0…'"
52,"'The creation of an international audit and database of equine colic surgery: Survey of attitudes of surgeons', '… Equine colic surgery is well-suited to being assessed by clinical audit in view of the … In this \nstudy, the sample consisted of equine colic surgeons drawn from the lists of diplomates of the …'"
53,"'Serum and peritoneal fluid phosphate concentrations as predictors of major intestinal injury associated with equine colic.', 'To determine the reliability with which inorganic phosphorus (phosphate) concentrations \ncan be used to predict major intestinal injury associated with equine colic, phosphate …'"
54,"'Diagnostic and prognostic procedures for equine colic surgery', 'Diagnostic methods such as abdominal radiography, endoscopy, laparoscopy, and peritoneal \nfluid analysis can be helpful in the decision-making process, regarding the horse with colic…'"
55,"'Correlation between equine colic and weather changes', '… and temperature changes and equine colic in Thessaloniki, Greece … pathophysiology which \nresults in equine colic are not known, … Therefore, in the present study equine colic and its …'"
56,"'Surgical techniques in equine colic', 'Emergency equine abdominal surgery is easiest and most efficiently carried out with a team \nof surgeons. The surgical site should be as protected as possible by the use of sterile …'"
57,"'Equine colic and coagulation disorders', 'The objective of this study was to investigate the coagulation disorders in drought horses \nsuffering from colic. A total of (125) local drought male horse of different ages were investigated…'"
58,"'[PDF][PDF] Clinical and biochemical studies in equine colic', 'Twenty horses suffering from colic were studied tor clinical observations and changes in serum \nelectrolytes (Na, K, HCCK Cl) anü PCV. Colic was continued by the rectal palpation. The …'"
59,"'Equine surgical colic: risk factors for postoperative complications', 'The reason for undertaking this study was that postoperative complications of colic surgery \nlead to patient discomfort, prolonged hospitalisation and increased cost. Potential risk factors …'"
60,"'Equine colic associated with small intestinal epiploic foramen entrapment', 'Equine colic associated with small intestinal epiploic foramen entrapment - ScienceDirect … \nEpiploic foramen entrapment is an important diagnosis in equine colic patients. …'"
61,"'Isoflurane anesthesia for equine colic surgery comparison with halothane anesthesia', '… The number of uncontrolled variables in equine colic patients is great. Only large randomized \nprospective trials can answer definitively questions concerning the efficacy and relative …'"
62,"'Serum lipids and lipoproteins in equine colic and grass sickness', 'Serum total lipids, lipoprotein fractions, triglycerides, cholesterol, phospholipids and free \nfatty acids were measured in horses with acute, subacute and chronic grass sickness (equine …'"
63,"'Clinical governance, clinical audit, and the potential value of a database of equine colic surgery', '… Database of equine colic surgery Equine colic surgery has been performed routinely by \nequine surgeons since the mid-1960s. Although the general success rates of colic surgery have …'"
64,"'Molecular insights into dietary induced colic in the horse', '… Equine colic, a disorder manifested in abdominal pain, is the most frequent cause of … \ngastrointestinal tract will assist the development of effective strategies to prevent equine colic. …'"
65,"'The effect of inotropic and/or vasopressor support on postoperative survival following equine colic surgery', '… Our study supports previous work, suggesting that pre-existing cardiovascular status is \nan important prognostic determinant in equine colic cases. It provides no evidence that …'"
66,"'Multivariable prediction model for the need for surgery in horses with colic.', '… A survey of 1,965 equine colic cases was conducted from August 1985 to July 1986 at 10 \nequine referral centers located throughout the United States. The purpose of this study was to …'"
67,"'Prognostic parameters in equine colic', 'A retrospective study was performed on 271 horses with colic referred to the I. Medizinische \nTierklinik within a period of 2 years, to examine the prognostic value of different clinical and …'"
68,"'Providing fluid therapy to equine colic patients. Part 1', 'Background: Fluid therapy is a life‐saving measure, which is fundamental in managing \nhorses with colic. It is essential for the clinician to be familiar with the available options when …'"
69,"'Equine colic: Diagnosis and treatment', '… Equine colic can be divide into two major type according to its origin. A colic case should \nbe managed medically or surgically depends on severity of pain, involvements of system. The …'"
70,"'Estimate of the national incidence of and operation-level risk factors for colic among horses in the United States, spring 1998 to spring 1999', '… To the authors’ knowledge, a large study that accurately estimates the incidence of equine \ncolic in the continental United States has not been performed. Furthermore, there are no …'"
71,"'Histological and immunohistochemical studies of changes in myenteric plexuses and in interstitial cells of Cajal associated with equine colic', '… To conclude, this study seems to suggest that in equine colic syndromes significant ENS \nand ICC morphofunctional changes are produced, whatever the cause is. Establishing if the …'"
72,"'[DOC][DOC] Equine colic: putting the puzzle together', 'Equine colic remains one of the most common causes of mortality in domesticated horses \nand is a condition that horse owners recognise as being potentially life-threatening (Leblond …'"
73,"'[PDF][PDF] Equine Colic: How to make the decision for surgery', '… Prognosis in equine colic patients using multivariable analysis. Can J Vet Res. Jan 1989;53(… \nAssessment of the necessity for surgical intervention in cases of equine colic: a …'"
74,"'D-dimer improves the prognostic value of combined clinical and laboratory data in equine gastrointestinal colic', '… -site test to predict disseminated mtravascular coagulation and nonsurvival m equine colic. … \nEquine colic attributable to gastrointestinal tract disease is the leading cause of death in adult …'"
75,"'Equine colic-a routine modern approach.', 'Equine colic - a routine modern approach. … Equine colic - a routine modern approach. …'"
76,"'[HTML][HTML] Causes of gastrointestinal colic in horses in western Canada: 604 cases (1992 to 2002)', '… In conclusion, most of the equine colic cases were medical, and the recovery rates for both \n… Equine colic can be divided into 2 major categories; gastrointestinal and nongastrointestinal (…'"
77,"'Preliminary results on the association with feeding and recovery length in equine colic patients after laparotomy', 'Colic is a serious disease for horses and the nutritional management of postoperative colic \npatients is an extremely important field. The aim of this retrospective study was to analyse the …'"
78,"'[PDF][PDF] The role of tapeworms in equine colic', 'There is an increasing amount of evidence toincriminate the equine tapeworm Anoplocephala \nperfoliata in a variety of intestinal obstructions involving the ileum and caecum. …'"
79,"'Heparin anticoagulant therapy in equine colic.', 'In horses with large bowel disease, those with circulating endotoxins but no evidence of \naltered hemostasis had a good prognosis for survival. Those with circulating endotoxins and …'"
80,"'Equine colic', '… The layout of the book follows a logical approach to equine colic, beginning with initial \nexamination and progressing through diagnostic techniques, treatment options and, finally\xa0…'"
81,"'Long‐term survival of equine surgical colic cases. Part 1: patterns of mortality and morbidity', '… During the past 30 years, the prognosis for surgical treatment of equine colic has improved \n… (1997) A prospective study of equine colic incidence, risk factors and mortality rates. Equine …'"
