Title,TruncAbstr,AugmTitle,Info
Prospective study of equine colic risk factors,"A1 year prospective study was conducted on 31 horse farms to identify risk factors for equine 
colic. Farms were randomly selected from a list from 2 adjacent counties of Virginia and …","('Prospective study of equine colic risk factors', 'A1 year prospective study was conducted on 31 horse farms to identify risk factors for equine \ncolic. Farms were randomly selected from a list from 2 adjacent counties of Virginia and …')","MK Tinker, NA White, P Lessard… - Equine veterinary …, 1997 - Wiley Online Library"
[PDF][PDF] Dietary and other management factors associated with equine colic,"… Equine colic is an important cause of disease and death in horses. Relatively few … , and to 
examine other management factors associated with equine colic. Because horses examined at …","('[PDF][PDF] Dietary and other management factors associated with equine colic', '… Equine colic is an important cause of disease and death in horses. Relatively few … , and to \nexamine other management factors associated with equine colic. Because horses examined at …')","N Cohen, P Gibbs, A Woods - J. Am. Vet. Med. Assoc, 1999 - researchgate.net"
Prospective study of equine colic incidence and mortality,"A prospective study of one year was conducted on 31 horse farms to obtain population based 
estimates of incidence, morbidity and mortality rates of equine colic. Farms with greater …","('Prospective study of equine colic incidence and mortality', 'A prospective study of one year was conducted on 31 horse farms to obtain population based \nestimates of incidence, morbidity and mortality rates of equine colic. Farms with greater …')","MK Tinker, NA White, P Lessard… - Equine veterinary …, 1997 - Wiley Online Library"
Case-control study of the association between various management factors and development of colic in horses. Texas Equine Colic Study Group.,"The association between various management factors and development of colic was studied 
in 821 horses treated for colic and 821 control horses treated for noncolic emergencies by …","('Case-control study of the association between various management factors and development of colic in horses. Texas Equine Colic Study Group.', 'The association between various management factors and development of colic was studied \nin 821 horses treated for colic and 821 control horses treated for noncolic emergencies by …')","ND Cohen, PL Matejka, CM Honnas… - Journal of the American …, 1995 - europepmc.org"
[BOOK][B] Practical guide to equine colic,"… should stimulate research ideas to improve equine colic patient management. I personally 
learned … When asked by WileyBlackwell to write a small 200-page book about equine colic, it …","('[BOOK][B] Practical guide to equine colic', '… should stimulate research ideas to improve equine colic patient management. I personally \nlearned … When asked by WileyBlackwell to write a small 200-page book about equine colic, it …')","LL Southwood, J Fehr - 2012 - books.google.com"
"A two year, prospective survey of equine colic in general practice","… VERY few epidemiological studies of equine colic have been performed on an unbiased 
population. Most published surveys have been conducted on horses referred to clinics for …","('A two year, prospective survey of equine colic in general practice', '… VERY few epidemiological studies of equine colic have been performed on an unbiased \npopulation. Most published surveys have been conducted on horses referred to clinics for …')","CJ Proudman - Equine Veterinary Journal, 1992 - Wiley Online Library"
Development of a colic severity score for predicting the outcome of equine colic,"… of survival for equine colic patients. Numerous variables, used independently or in combination, 
are related to survival,’ but they have been most successful in predicting survival when …","('Development of a colic severity score for predicting the outcome of equine colic', '… of survival for equine colic patients. Numerous variables, used independently or in combination, \nare related to survival,’ but they have been most successful in predicting survival when …')","MO FURR, P LESSARD, NAW II - Veterinary Surgery, 1995 - Wiley Online Library"
Prognosticating equine colic,"Prognosticating survival in horses with colic is challenging because of the number of diseases 
and pathophysiologic processes that can cause the behavior. Although the treatment of …","('Prognosticating equine colic', 'Prognosticating survival in horses with colic is challenging because of the number of diseases \nand pathophysiologic processes that can cause the behavior. Although the treatment of …')","S Dukti, NA White - Veterinary clinics: Equine practice, 2009 - vetequine.theclinics.com"
Clinical evaluation of blood lactate levels in equine colic,"… Donawick and Hiza (1973) reported that in 9 cases of equine colic, blood lactate levels were 
… evaluate the rise of blood lactate levels in equine colic cases and to determine if such levels …","('Clinical evaluation of blood lactate levels in equine colic', '… Donawick and Hiza (1973) reported that in 9 cases of equine colic, blood lactate levels were \n… evaluate the rise of blood lactate levels in equine colic cases and to determine if such levels …')","JN Moore, RR Owen, JH Lumsden - Equine Veterinary Journal, 1976 - Wiley Online Library"
Prognosis in equine colic: a comparative study of variables used to assess individual cases,"The present retrospective study compared objectively the prognostic value of many variables 
routinely used in the assessment of equine colic cases. The best prognostic variables were …","('Prognosis in equine colic: a comparative study of variables used to assess individual cases', 'The present retrospective study compared objectively the prognostic value of many variables \nroutinely used in the assessment of equine colic cases. The best prognostic variables were …')","BW Parry, GA Anderson, CC Gay - Equine Veterinary Journal, 1983 - Wiley Online Library"
Prevention of post operative complications following surgical treatment of equine colic: current evidence,"… However, evidence of similar best antimicrobial practice in equine colic surgery and any 
impact of this on the incidence of SSI is lacking, and is an area that requires future research. …","('Prevention of post operative complications following surgical treatment of equine colic: current evidence', '… However, evidence of similar best antimicrobial practice in equine colic surgery and any \nimpact of this on the incidence of SSI is lacking, and is an area that requires future research. …')","SE Salem, CJ Proudman… - Equine Veterinary …, 2016 - Wiley Online Library"
Prognosis in equine colic: a study of individual variables used in case assessment,"The individual merit of the use of 43 variables to assess the prognosis of equine colic cases 
was examined. The following variables revealed highly significant (P<0.001) differences …","('Prognosis in equine colic: a study of individual variables used in case assessment', 'The individual merit of the use of 43 variables to assess the prognosis of equine colic cases \nwas examined. The following variables revealed highly significant (P<0.001) differences …')","BW Parry, GA Anderson, CC Gay - Equine Veterinary Journal, 1983 - Wiley Online Library"
Detection of endotoxin in cases of equine colic.,"The Limulus amoebocyte lysate assay was used to test for the presence of endotoxin in 37 
clinical cases of equine colic. Positive plasma titres were detected in 10 cases and the …","('Detection of endotoxin in cases of equine colic.', 'The Limulus amoebocyte lysate assay was used to test for the presence of endotoxin in 37 \nclinical cases of equine colic. Positive plasma titres were detected in 10 cases and the …')","JN King, EL Gerring - The Veterinary record, 1988 - europepmc.org"
Mortality rates and associated factors in equine colic operations—a retrospective study of 341 operations,"… and postoperative progress of the surgical intervention in the equine colic case (3,7,8). A 
summary of previous reviews of survival rates for equine colic surgery are shown in Table I. In …","('Mortality rates and associated factors in equine colic operations—a retrospective study of 341 operations', '… and postoperative progress of the surgical intervention in the equine colic case (3,7,8). A \nsummary of previous reviews of survival rates for equine colic surgery are shown in Table I. In …')","PJ Pascoe, WN McDonell, CM Trim… - The Canadian …, 1983 - ncbi.nlm.nih.gov"
Factors associated with Salmonella shedding among equine colic patients at a veterinary teaching hospital,"… at a veterinary teaching hospital because of colic and that pathogen monitoring in patients 
and the hospital environment and use of barrier nursing precautions for equine colic patients …","('Factors associated with Salmonella shedding among equine colic patients at a veterinary teaching hospital', '… at a veterinary teaching hospital because of colic and that pathogen monitoring in patients \nand the hospital environment and use of barrier nursing precautions for equine colic patients …')","PS Morley, JL Traub-Dargatz… - Journal of the …, 2001 - Am Vet Med Assoc"
[HTML][HTML] Could it be colic? Horse-owner decision making and practices in response to equine colic,"Little is known about lay understanding and decision making in response to colic. Horse-owners/carers 
are key to identifying colic and initiating veterinary intervention. Understanding …","('[HTML][HTML] Could it be colic? Horse-owner decision making and practices in response to equine colic', 'Little is known about lay understanding and decision making in response to colic. Horse-owners/carers \nare key to identifying colic and initiating veterinary intervention. Understanding …')","CE Scantlebury, E Perkins… - BMC veterinary …, 2014 - bmcvetres.biomedcentral.com"
