,AugmTitle
0,"('Information on infantile colic on the World Wide Web', '… A descriptive design was used to evaluate the type and quality of information about infant \ncolic on the Web. A systematic search for information on infantile colic was conducted in …')"
1,"('Infantile colic: what to know for the primary care setting', '… to report on the various definitions and outcome measures of infant colic. They found there \nto be 20 unique definitions of infant colic, 18 unique definitions of improvement of symptoms, …')"
2,"('[PDF][PDF] Prevalence and risk factors for infantile colic in District Mansehra', '… Clifford TJ, Campbell MK, Speechley KN, Gorodzinsky F: Sequence of infant colic evidence \n… Becker N, Lombardi P, Sidoti E, Katkin LS: Mylicon drops in the treatment of infant colic. Clin …')"
3,"('Relation between infantile colic and asthma/atopy: a prospective study in an unselected population', 'Objective. To assess whether children with history of infantile colic may be at increased risk \nof subsequently developing asthma and/or atopy. Methods. We used data collected in a large…')"
4,"('Infantile colic, maternal smoking and infant feeding at 5 weeks of age', '… Effects of infant colic on the family: implications for practice. Issues Compr Pediatr Nurs \n1986… A systematic review of treatments for infant colic. Pediatrics 2000;106:184–90. [11] …')"
5,"('Mother-to-Infant Bonding is Associated with Maternal Insomnia, Snoring, Cognitive Arousal, and Infant Sleep Problems and Colic', '… Conclusions: Both maternal and infant sleep problems were associated with poorer \nmother-to-infant bonding, independent of the effects of maternal depression and infant colic. …')"
6,"('Infant colic: Re-evaluating the adaptive hypotheses', 'Colic may allow infants to obtain additional investment from their parents. The lack of clear \nfitness costs of colic and of differences in condition between colicky and non-colicky infants is …')"
7,"('Infantile colic: incidence and treatment in a Norfolk community', '… (1977) Evaluation of efficacy of dicyclomine hydrochloride syrup in the treatment of infant \ncolic. Current Medical Research and Opinion 5, 258 Hide DW & Guyer BM (1982) Prevalence …')"
8,"('The Gastrointestinal Microbiome in Infant Colic: A Scoping Review.', 'The significant crying of infantile colic adds stress to the infant and their family, yet it has no \nrecognized etiology. Gastrointestinal health problems and dysfunction have been suspected …')"
9,"('[PDF][PDF] Infantile colic: from basics to treatment', '… to the pathophysiology of infant colic are explored. Also, clinical assessment of infant with \nsuspected colic is reviewed. Important aspect of the management of infant colic is further …')"
10,"('Infant colic and lactose intolerance—the confusion', '… Infant colic is a particularly distressing condition for both infants and their parents. Many … \nand infant colic, and establish that Infacol®, is a clinically proven treatment for infant colic which …')"
11,"('[CITATION][C] Chiropractic manual therapy for the infant with colic crying: a randomised double blind placebo-controlled trial', '')"
12,"('Probiotic interventions in infantile colic', '… infant colic is not culture-specific, and its prevalence seems to be consistent across countries \nand continents. Nevertheless, it is possible that infants from Melbourne, Australia, may …')"
13,"('Cimetropium bromide in the treatment of crisis in infantile colic', 'Background Treatment of infantile colic remains an open issue. In Italy, cimetropium bromide \nis used extensively to treat infantile colic. The aim of this randomized, double-blind, placebo…')"
14,"('Irritable infant syndrome: Theoretical perspectives and practice implications', '… on infant colic has included a portion designed to examine the contribution of environmental \ntension or maternal anxiety to the occurrence of infant colic. … factors and infant colic using a …')"
15,"(""Infants with “colic”—mothers' perspectives on the crying problem"", '… We can summarize as follows: infant colic is a frequent cause of parents consulting \npediatricians. However, there is insufficient agreement on the definition of colic, and knowledge …')"
16,"('A pilot study of ST36 acupuncture for infantile colic', '… ), who have completed the education programmes of Norwegian Society of Medical Acupuncture \n(NFMA), use standardised bilateral needling of the point ST36 when treating infant colic…')"
17,"('[HTML][HTML] Probiotics for management of infantile colic: a systematic review of randomized controlled trials', 'Results Seven RCTs (471 participants) were included. Compared with placebo the administration \nof Lactobacillus reuteri DSM 17938 at a daily dose of 10 8 CFU was associated with …')"
18,"('[PDF][PDF] Psychosocial status and quality of life in mothers of infants with colic', 'Mothers and their newborns were stratified into Group 1 (colicky infantmother dyad [n: 39]) \nand Group 2 (non-colicky infant-mother dyad [n: 39]). Maternal symptoms of depression and …')"
19,"('Is it time to recommend lactobacillus for colic? Not Necessarily', '… Some infants between 1 week and 4 months of age cry a lot without an apparent reason, a \nphenomenon traditionally called “infant colic.” The word “colic,” derived from the Greek word …')"
20,"('[HTML][HTML] Prevalence of functional gastrointestinal disorders in infants and young children in China', '… Ninety-seven infants (3.72%) had more than one FGID of which the most common combination \nwas infant colic and regurgitation in 71 infants (2.73%). The prevalence of FGIDs among …')"
21,"('[CITATION][C] Use of sucrose as a treatment for infant colic• Commentary', '')"
22,"('Actualización de los tratamientos para el cólico del lactante', '… Introduction: Infant colic is a condition characterized by repetitive and continuous crying with \n… most current scientific evidence on the existing treatments that can be used in infant colic. …')"
23,"('Basic and Clinical Advances in the Diagnosis and Management of Migraine', '… Studies have suggested that migraine headache is significantly associated with infant colic \nand inflammatory bowel disease [8, 9]. is special issue aims to cover migraine-related studies …')"
24,"('Maternal feelings about infant crying', 'The study focuses on basic relations between some personality characteristics of mothers \nand their subjective perceptions of infant crying. It presents the method of Feelings about …')"
25,"('[CITATION][C] 7 Infant colic-clinica', '')"
26,"(""[CITATION][C] Stopping baby's colic: The new program designed to relieve most infants' persistent crying in 3-7 days"", '')"
