Title,TruncAbstr,AugmTitle,Info
Information on infantile colic on the World Wide Web,"… A descriptive design was used to evaluate the type and quality of information about infant 
colic on the Web. A systematic search for information on infantile colic was conducted in …","('Information on infantile colic on the World Wide Web', '… A descriptive design was used to evaluate the type and quality of information about infant \ncolic on the Web. A systematic search for information on infantile colic was conducted in …')","SD Bailey, JP D'Auria, JP Haushalter - Journal of Pediatric Health Care, 2013 - Elsevier"
Infantile colic: what to know for the primary care setting,"… to report on the various definitions and outcome measures of infant colic. They found there 
to be 20 unique definitions of infant colic, 18 unique definitions of improvement of symptoms, …","('Infantile colic: what to know for the primary care setting', '… to report on the various definitions and outcome measures of infant colic. They found there \nto be 20 unique definitions of infant colic, 18 unique definitions of improvement of symptoms, …')","CA Pace - Clinical Pediatrics, 2017 - journals.sagepub.com"
[PDF][PDF] Prevalence and risk factors for infantile colic in District Mansehra,"… Clifford TJ, Campbell MK, Speechley KN, Gorodzinsky F: Sequence of infant colic evidence 
… Becker N, Lombardi P, Sidoti E, Katkin LS: Mylicon drops in the treatment of infant colic. Clin …","('[PDF][PDF] Prevalence and risk factors for infantile colic in District Mansehra', '… Clifford TJ, Campbell MK, Speechley KN, Gorodzinsky F: Sequence of infant colic evidence \n… Becker N, Lombardi P, Sidoti E, Katkin LS: Mylicon drops in the treatment of infant colic. Clin …')","M Fazil - Journal of Ayub Medical College Abbottabad, 2011 - ayubmed.edu.pk"
Relation between infantile colic and asthma/atopy: a prospective study in an unselected population,"Objective. To assess whether children with history of infantile colic may be at increased risk 
of subsequently developing asthma and/or atopy. Methods. We used data collected in a large…","('Relation between infantile colic and asthma/atopy: a prospective study in an unselected population', 'Objective. To assess whether children with history of infantile colic may be at increased risk \nof subsequently developing asthma and/or atopy. Methods. We used data collected in a large…')","JA Castro-Rodrıguez, DA Stern, M Halonen… - …, 2001 - publications.aap.org"
"Infantile colic, maternal smoking and infant feeding at 5 weeks of age","… Effects of infant colic on the family: implications for practice. Issues Compr Pediatr Nurs 
1986… A systematic review of treatments for infant colic. Pediatrics 2000;106:184–90. [11] …","('Infantile colic, maternal smoking and infant feeding at 5 weeks of age', '… Effects of infant colic on the family: implications for practice. Issues Compr Pediatr Nurs \n1986… A systematic review of treatments for infant colic. Pediatrics 2000;106:184–90. [11] …')","CA Canivet, PO Östergren… - … journal of public …, 2008 - journals.sagepub.com"
"Mother-to-Infant Bonding is Associated with Maternal Insomnia, Snoring, Cognitive Arousal, and Infant Sleep Problems and Colic","… Conclusions: Both maternal and infant sleep problems were associated with poorer 
mother-to-infant bonding, independent of the effects of maternal depression and infant colic. …","('Mother-to-Infant Bonding is Associated with Maternal Insomnia, Snoring, Cognitive Arousal, and Infant Sleep Problems and Colic', '… Conclusions: Both maternal and infant sleep problems were associated with poorer \nmother-to-infant bonding, independent of the effects of maternal depression and infant colic. …')","DA Kalmbach, LM O'Brien, DAS Pitts… - Behavioral sleep …, 2021 - Taylor & Francis"
Infant colic: Re-evaluating the adaptive hypotheses,"Colic may allow infants to obtain additional investment from their parents. The lack of clear 
fitness costs of colic and of differences in condition between colicky and non-colicky infants is …","('Infant colic: Re-evaluating the adaptive hypotheses', 'Colic may allow infants to obtain additional investment from their parents. The lack of clear \nfitness costs of colic and of differences in condition between colicky and non-colicky infants is …')","D Maestripieri, KM Durante - Behavioral and Brain Sciences, 2004 - cambridge.org"
Infantile colic: incidence and treatment in a Norfolk community,"… (1977) Evaluation of efficacy of dicyclomine hydrochloride syrup in the treatment of infant 
colic. Current Medical Research and Opinion 5, 258 Hide DW & Guyer BM (1982) Prevalence …","('Infantile colic: incidence and treatment in a Norfolk community', '… (1977) Evaluation of efficacy of dicyclomine hydrochloride syrup in the treatment of infant \ncolic. Current Medical Research and Opinion 5, 258 Hide DW & Guyer BM (1982) Prevalence …')","SP Rubin, M Prendergast - Child: care, health and …, 1984 - Wiley Online Library"
The Gastrointestinal Microbiome in Infant Colic: A Scoping Review.,"The significant crying of infantile colic adds stress to the infant and their family, yet it has no 
recognized etiology. Gastrointestinal health problems and dysfunction have been suspected …","('The Gastrointestinal Microbiome in Infant Colic: A Scoping Review.', 'The significant crying of infantile colic adds stress to the infant and their family, yet it has no \nrecognized etiology. Gastrointestinal health problems and dysfunction have been suspected …')","JM Johnson, ED Adams - MCN. The American Journal of Maternal …, 2022 - europepmc.org"
[PDF][PDF] Infantile colic: from basics to treatment,"… to the pathophysiology of infant colic are explored. Also, clinical assessment of infant with 
suspected colic is reviewed. Important aspect of the management of infant colic is further …","('[PDF][PDF] Infantile colic: from basics to treatment', '… to the pathophysiology of infant colic are explored. Also, clinical assessment of infant with \nsuspected colic is reviewed. Important aspect of the management of infant colic is further …')","H Masoodi, S Rahimi, G Tavakolian… - … Science Journal of …, 2020 - tmuj.iautmu.ac.ir"
Infant colic and lactose intolerance—the confusion,"… Infant colic is a particularly distressing condition for both infants and their parents. Many … 
and infant colic, and establish that Infacol®, is a clinically proven treatment for infant colic which …","('Infant colic and lactose intolerance—the confusion', '… Infant colic is a particularly distressing condition for both infants and their parents. Many … \nand infant colic, and establish that Infacol®, is a clinically proven treatment for infant colic which …')","A Morris - British Journal of Midwifery, 2002 - magonlinelibrary.com"
[CITATION][C] Chiropractic manual therapy for the infant with colic crying: a randomised double blind placebo-controlled trial,,"('[CITATION][C] Chiropractic manual therapy for the infant with colic crying: a randomised double blind placebo-controlled trial', '')","J Miller, D Newell, J Bolton - Clin Chiropr, 2010"
Probiotic interventions in infantile colic,"… infant colic is not culture-specific, and its prevalence seems to be consistent across countries 
and continents. Nevertheless, it is possible that infants from Melbourne, Australia, may …","('Probiotic interventions in infantile colic', '… infant colic is not culture-specific, and its prevalence seems to be consistent across countries \nand continents. Nevertheless, it is possible that infants from Melbourne, Australia, may …')","V Sung - Current opinion in clinical nutrition and metabolic care, 2015 - ingentaconnect.com"
